OBJECTID,SPAWN,SITE1,Site1_Name,SITE2,Site2_Name,YEAR_,Shape.STArea(),Shape.STLength(),longitude,latitude
113,1,eb,Elliott Bay, , ,0,4797554.340453127,17715.437177981807,-122.41649627671961,47.579059599771156
114,1,sji,San Juan Islands, , ,0,10647822.38269345,40018.89419921933,-122.88932097426007,48.69328411148274
115,1,sji,San Juan Islands, , ,0,9328795.860132301,26022.173188661895,-122.94557039274166,48.587000250251194
116,1,sji,San Juan Islands, , ,0,2700575.613994518,30082.939434813565,-122.9903807893829,48.601726369238634
117,1,sji,San Juan Islands, , ,0,5676817.035510582,35680.78143155004,-122.99115224836662,48.636073920348444
118,0,eb,Elliott Bay, , ,0,4783594.386974684,8766.632870846352,-122.4304275517545,47.649108885664425
119,0,eb,Elliott Bay, , ,0,4153708.7030175906,9878.217774798532,-122.43486022887268,47.655174254733886
120,0,eb,Elliott Bay, , ,0,12054491.960297873,30998.256468845524,-122.38256752458325,47.70680112280813
121,0,qb,Quilcene Bay, , ,0,29019046.728247523,109010.30790963102,-122.80867001727191,47.840631430065436
122,0, ,SE Bainbridge, , ,0,12604987.595811835,51155.15925339115,-122.48838834958703,47.62060526901578
